Project Name,,MR04 - Robot Christmas Ornament,,,
Farnell/Newark Parts Order (Please provide both SKU's for Farnell and Newark),,,,,
#,Product Name,Manufacturer,Quantity,Farnell Order Code,Newark SKU
1,LT8350,ANALOG DEVICES,1,4407013,02AM3195
2,Inductor XAL6060-682MEC,COILCRAFT,1,2289087,
3,Resistor 0603 270k - MCWR06X2703FTL,MULTICOMP PRO,1,2447313,94X1543
4,Resistor 0603 100k - MCMR06X1003FTL,MULTICOMP PRO,4,2073350,86T3507
5,Capacitor 22uF 0805 25V - CL21A226MAYNNNE,SAMSUNG,9,4539343,13AM4466
6,Connector PCB 2+2 - MP011760,MULTICOMP PRO,2,4220285,78AK6991
7,Connector Cable 2+2 - MP011759,MULTICOMP PRO,2,4220284,78AK6990
8,3V3 LDO - BD33HC0VEFJ-ME2,ROHM,1,4208957,78AK2869
9,Heatsink LTN20069,WKEFIELD THERMAL,1,2802864,
10,Resistor 0603 - 1k,MULTICOMP PRO,4,2447272,93X4493
11,Resistor 0603 - 2k,MULTICOMP PRO,1,2502426,68Y8460
12,Resistor 0603 - 4k7,MULTICOMP PRO,5,2670822,02AC1425
13,Inductor - ME3220-472MLC,COILCRAFT,1,2287943,
14,Capacitor 4.7uF 0603,MURATA,1,2426959,68X2788
15,Resistor 0603 5k1,MULTICOMP PRO,1,2447404,94X1664
16,Resistor 0603 10k,MULTICOMP PRO,5,2694689,08AM3242
17,Capacitor 0805 10uF 50V,MURATA,4,3786004,62AK1695
18,Capacitor 0603 22nF,SAMSUNG,1,3013425,82AC9345
19,Capacitor 0603 100nF 50V,SAMSUNG,17,4695931,29AM3966
20,Resistor 0603 143k,MULTICOMP PRO,1,2694723,43AC3745
21,Capacitor 0603 470nF,SAMSUNG,1,3013435,42AH1690
22,Fuse with Fuse Holder SMD - 0154010.DR,LITTELFUSE,1,1817192,49H7649
23,Buck Converter IC - AP62200Z6-7,DIODES INC,1,3755413,45AJ0642
24,LED Red 0603,MULTICOMP PRO,1,3796316,73AJ8829
25,LED Green 0603,MULTICOMP PRO,1,3796317,73AJ8830
26,LED Blue 0603,MULTICOMP PRO,1,3796315,73AJ8828
27,Inductor Ferrite Bead MPZ2012S221ATD25,TDK,1,2800853,03AJ2316
28,Resistor 0603 1R,MULTICOMP PRO,1,2447289,94X1335
29,Capacitor 0603 1uF 25V,SAMSUNG,7,3013382,82AC9275
30,Resistor 0603 3R3,MULTICOMP PRO,1,2447365,94X1359
31,Resistor 0603 5R,MULTICOMP PRO,4,2447409,94X1367
32,Capacitor 0603 10nF 50V,SAMSUNG,1,3013408,82AC9315
33,Resistor 0603 24K,MULTICOMP PRO,1,2447308,94X1521
34,Capacitor 47uF,KEMET,1,3346125,73AJ3667
35,Capacitor 330uF,AISHI,1,4061826,54AK6043
36,Current Sensor IC - ACS722,ALLEGRO,2,3594557,12AJ8251
37,Motor Driver IC - DRV8412DDWR,TEXAS INSTRUMENTS,1,3118919,52AH7091
38,Capacitor 470uF 50V,KYOCERA,2,4625941,21AM3640
39,Motor Connector - XT30,DFROBOT,2,4308224,85AK8302
40,SPI/GPIO Connector - PCB,AMPHENOL,1,3367450,06M2967
41,SPI/GPIO Connector - Cable,AMPHENOL,1,1623778,09P8383
42,SPI/GPIO Connector - Pins,AMPHENOL,6,1211635,06M2114
43,RGB LED,WURTH ELEKTRONIK,1,2764964,22AC3253
44,Debug Connector,JST,1,1679128,33P6549
45,LED Driver IC,NXP,1,2759862,18AC0099
46,Raspberry Pi Pico 2,RASPBERRY-PI,1,4531086,11AM9749
47,PullUp Resistor Switch RN2905,TOSHIBA,2,4387322,01AM0453
48,WAFER-PH2.0-4PLB,,4,TODO,
49,,,,,
50,,,,,
51,,,,,
52,,,,,
53,,,,,
54,,,,,
,,,,,
,,,,,
"Parts used outside of Newark/Farnell, product name and description (No source needed)",,,,,
#,Name,Description,,,
1,2mm pitch JST style SMD connectors,,,,
2,Blank PCBs,,,,
3,Brushed DC Motors,,,,
4,AS5600 Encoder Module,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
