No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier	JLCPCB Price	JLCPCB Stock
1	1	1PinHeader	1PinHeader	1PinHeader							
2	15	100nF	C1,C2,C4,C6,C7,C8,C18,C23,C32,C35,C36,C37,C38,C42,C43	C0603	100nF	CL10B104KB8NNNC	SAMSUNG(三星)	C1591	LCSC	0.0005	10165126
3	4	10uF	C3,C5,C9,C10	C0805	10uF						
4	9	22uF	C11,C12,C14,C16,C19,C20,C21,C22,C24	C0805	22uF	CL21A226MAYNNNE	SAMSUNG(三星)	C602037	LCSC	0.005	1793398
5	1	4.7uF	C13	C0603	4.7uF						
6	1	470nF	C15	C0603	470nF						
7	1	22nF	C17	C0603	22nF						
8	9	1uF	C25,C26,C28,C29,C33,C34,C39,C40,C41	C0603	1uF	CL10A105KA8NNNC	SAMSUNG(三星)	C5673	LCSC	0.0009	1684540
9	1	10nF	C27	C0603	10nF						
10	1	330uF	C30	CAP-SMD_BD8.0-L8.3-W8.3-FD	330uF	EMK1EM331FB0D00R	AISHI(艾华集团)	C5289732	LCSC	0.0177	5919
11	1	47uF	C31	CAP-SMD_BD6.3-L6.6-W6.6-LS7.8-FD	47uF	EEV476M035S9GAA	KEMET(基美)	C3829743	LCSC	0.0346	100
12	2	100nF	C44,C45	C0603		0603F104Z500CT	Walsin(华新科)	C83060	LCSC	0.003	0
13	2	XT30U-M	CN1,CN2	CONN-TH_XT30U-M		XT30U-M	AMASS(艾迈斯)	C99101	LCSC	0.034	46168
14	4	WAFER-PH2.0-4PLB	CN3,CN4,CN5,CN6	CONN-SMD_4P-P2.00_WAFER-200L-4A		WAFER-PH2.0-4PLB	XUNPU(讯普)	C3029433	LCSC	0.0157	9131
15	1	98424-G52-06ALF	CN7	CONN-SMD_98424-G52-06ALF		98424-G52-06ALF	Amphenol	C180222	LCSC	0.1527	932
16	1	0154001.DR	F1	FUSE-SMD_L9.8-W5.1		0154001.DR	Littelfuse(美国力特)	C206908	LCSC	0.2322	1717
17	1	MPZ2012S221ATD25	L1	L0805		MPZ2012S221ATD25	TDK	C307778	LCSC	0.0051	830
18	1	ME3220-472MLC	L2	IND-SMD_L3.2-W2.8		ME3220-472MLC	Coilcraft(线艺)	C19276064	LCSC	0.1532	0
19	3	LED_0603-R	LED1,LED2,LED3	LED0603-R-RD							
20	1	150066M153000	LED4	150066M153000							
21	2	M3 Screw	MH1,MH2	MOUNTINGHOLE-M3		M3 Screw					
22	2	XT30(2+2)PB-M.G.B	PowerConnector1,PowerConnector2	CONN-TH_XT30PB-M		XT30(2+2)PB-M.G.B	AMASS(艾迈斯)	C19268029	LCSC	0.0637	15857
23	1	270k	R1	R0603	270k						
24	4	100k	R2,R3,R5,R10	R0603	100k						
25	5	10K	R4,R7,R11,R12,R15	R0603	10K						
26	1	5.1k	R6	R0603	5.1k						
27	1	4.7k	R8	R0603	4.7k						
28	1	143k	R9	R0603	143k						
29	1	1k	R13	R0603	1k						
30	1	2k	R14	R0603	2k						
31	4	5R	R16,R17,R21,R22	R0603	5R						
32	1	3R3	R18	R0603	3R3						
33	1	24K	R19	R0603	24K						
34	1	1R	R20	R0603	1R						
35	4	4k7	R23,R24,R25,R26	R0603	4k7						
36	2	0R	R27,R28	R0603	0R						
37	3	1kΩ	R29,R30,R31	R0603	1kΩ	RT0603BRD071KL	YAGEO(国巨)	C110776	LCSC	0.0032	599839
38	3	Test-Point	TP_3V1,TP_5V,TP_12V	Test-Point-0.5mm							
39	1	LT8350RV#PBF	U1	LQFN-32_L6.0-W4.0-P0.50-BL-EP_LT8350RV		LT8350RV#PBF	ADI(亚德诺)	C5367366	LCSC	3.015	1
40	1	6.8uH	U2	IND-SMD_L6.6-W6.4	6.8uH	XAL6060-682MEC	Coilcraft(线艺)	C5355913	LCSC	0.3023	197
41	1	BD33HC0VEFJ-ME2	U3	HTSOP-J8_L4.9-W3.9-P1.27-LS6.0-BL-EP		BD33HC0VEFJ-ME2	ROHM(罗姆)	C22202420	LCSC	0.0775	0
42	1	AP62200Z6-7	U4	SOT-563_L1.6-W1.2-P0.50-LS1.6-BL		AP62200Z6-7	DIODES(美台)	C2158024	LCSC	0.0275	1576
43	2	ECA1HM471B	U5,U6	CAPPRD500W65D1000H2200							
44	1	DRV8412DDWR	U7	HTSSOP-44_L14.0-W6.1-P0.64-LS8.1-BL-EP		DRV8412DDWR	TI(德州仪器)	C79852	LCSC	0.7629	2240
45	2	ACS722LLCTR-10AB-T	U8,U9	SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL		ACS722LLCTR-10AB-T	ALLEGRO(美国埃戈罗)	C459316	LCSC	0.6069	78
46	1	BM03B-SRSS-TB(LF)(SN)	U10	CONN-SMD-3P-P1.00_BM03B-SRSS-TB-LF-SN		BM03B-SRSS-TB(LF)(SN)	JST	C160389	LCSC	0.0391	23740
47	1	PICO	U11	COMM-SMD_L51.0-W21.0-P2.54_SC0916		PICO	Raspberry Pi(树莓派)	C7203002	LCSC	1.1859	1451
48	1	PCA9633DP1,118	U12	TSSOP-8_L3.0-W3.0-P0.65-LS4.9-BL		PCA9633DP1,118	NXP(恩智浦)	C88381	LCSC	0.2879	0
49	2	RN2905,LF(CT	U13,U14	SOT-323-6_L2.0-W1.3-P0.65-LS2.1-BR		RN2905,LF(CT	TOSHIBA(东芝)	C5732699	LCSC	0.0109	0
